TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
萬榮鄉,花蓮縣,10015120,10015,687351027.9852,花蓮縣萬榮鄉,S15-10015120
信義鄉,南投縣,10008120,10008,1423726284.6232,南投縣信義鄉,S08-10008120
草屯鎮,南投縣,10008030,10008,103960188.81,南投縣草屯鎮,S08-10008030
三地門鄉,屏東縣,10013260,10013,185904861.3,屏東縣三地門鄉,S13-10013260
豐原市,臺中縣,10006010,10006,41611846.125,臺中縣豐原市,S06-10006010
燕巢鄉,高雄縣,10012100,10012,68060155.627,高雄縣燕巢鄉,S12-10012100
七堵區,基隆市,10017020,10017,56625885.3608,基隆市七堵區,S17-10017020
鹽水鎮,臺南縣,10011020,10011,51580813.3116,臺南縣鹽水鎮,S11-10011020
西嶼鄉,澎湖縣,10016040,10016,19657049.3057,澎湖縣西嶼鄉,S16-10016040
馬公市,澎湖縣,10016010,10016,34893429.6184,澎湖縣馬公市,S16-10016010
善化鎮,臺南縣,10011190,10011,53437345.4823,臺南縣善化鎮,S11-10011190
莒光鄉,連江縣,09007030,09007,3942600,連江縣莒光鄉,S25-09007030
金湖鎮,金門縣,09020030,09020,34138900,金門縣金湖鎮,S24-09020030
東港鎮,屏東縣,10013030,10013,28467529.6609,屏東縣東港鎮,S13-10013030
長治鄉,屏東縣,10013060,10013,45787434.4894,屏東縣長治鄉,S13-10013060
中區,臺中市,10019010,10019,943735.3,臺中市中區,S19-10019010
新園鄉,屏東縣,10013170,10013,44320669.3459,屏東縣新園鄉,S13-10013170
瑪家鄉,屏東縣,10013280,10013,61676518.244,屏東縣瑪家鄉,S13-10013280
頭份鎮,苗栗縣,10005050,10005,52921455.0226,苗栗縣頭份鎮,S05-10005050
北港鎮,雲林縣,10009060,10009,41636105.639,雲林縣北港鎮,S09-10009060
虎尾鎮,雲林縣,10009030,10009,68353804.4336,雲林縣虎尾鎮,S09-10009030
麥寮鄉,雲林縣,10009130,10009,110021692.2845,雲林縣麥寮鄉,S09-10009130
五峰鄉,新竹縣,10004130,10004,210039072.8465,新竹縣五峰鄉,S04-10004130
茂林鄉,高雄縣,10012250,10012,241392279.111,高雄縣茂林鄉,S12-10012250
中正區,基隆市,10017010,10017,10022677.429,基隆市中正區,S17-10017010
關廟鄉,臺南縣,10011290,10011,53534483.3638,臺南縣關廟鄉,S11-10011290
沙鹿鎮,臺中縣,10006050,10006,40127103.2805,臺中縣沙鹿鎮,S06-10006050
臺西鄉,雲林縣,10009160,10009,60087568.2031,雲林縣臺西鄉,S09-10009160
臺東市,臺東縣,10014010,10014,111479626.2405,臺東縣臺東市,S14-10014010
新市鄉,臺南縣,10011200,10011,50433745.3229,臺南縣新市鄉,S11-10011200
大城鄉,彰化縣,10007240,10007,76050132.0426,彰化縣大城鄉,S07-10007240
花壇鄉,彰化縣,10007080,10007,35959121.8385,彰化縣花壇鄉,S07-10007080
后里鄉,臺中縣,10006070,10006,57195630.5138,臺中縣后里鄉,S06-10006070
東勢鎮,臺中縣,10006020,10006,107793540.4485,臺中縣東勢鎮,S06-10006020
梧棲鎮,臺中縣,10006060,10006,24258037.893,臺中縣梧棲鎮,S06-10006060
潭子鄉,臺中縣,10006090,10006,25843262.5424,臺中縣潭子鄉,S06-10006090
東引鄉,連江縣,09007040,09007,4502400,連江縣東引鄉,S25-09007040
北投區,臺北市,63000120,63000,57441221.8384,臺北市北投區,S22-63000120
楊梅鎮,桃園縣,10003040,10003,89646305.1857,桃園縣楊梅鎮,S03-10003040
橋頭鄉,高雄縣,10012090,10012,24357405.0996,高雄縣橋頭鄉,S12-10012090
玉里鎮,花蓮縣,10015030,10015,210906974.48,花蓮縣玉里鎮,S15-10015030
芬園鄉,彰化縣,10007090,10007,38285551.9858,彰化縣芬園鄉,S07-10007090
金城鎮,金門縣,09020010,09020,18919700,金門縣金城鎮,S24-09020010
北竿鄉,連江縣,09007020,09007,3754700,連江縣北竿鄉,S25-09007020
富里鄉,花蓮縣,10015100,10015,171999227.2756,花蓮縣富里鄉,S15-10015100
南屯區,臺中市,10019070,10019,30195860.3487,臺中市南屯區,S19-10019070
鹽埔鄉,屏東縣,10013100,10013,59171290.0912,屏東縣鹽埔鄉,S13-10013100
枋山鄉,屏東縣,10013250,10013,16532990.7888,屏東縣枋山鄉,S13-10013250
斗南鎮,雲林縣,10009020,10009,48289914.2458,雲林縣斗南鎮,S09-10009020
竹北市,新竹縣,10004010,10004,50354034.2124,新竹縣竹北市,S04-10004010
永安鄉,高雄縣,10012160,10012,26436859.9219,高雄縣永安鄉,S12-10012160
布袋鎮,嘉義縣,10010030,10010,77009654.6852,嘉義縣布袋鎮,S10-10010030
鹿草鄉,嘉義縣,10010110,10010,54538691.881,嘉義縣鹿草鄉,S10-10010110
仁愛區,基隆市,10017040,10017,4525795.9707,基隆市仁愛區,S17-10017040
恆春鎮,屏東縣,10013040,10013,138018538.807,屏東縣恆春鎮,S13-10013040
大溪鎮,桃園縣,10003030,10003,105154021.021,桃園縣大溪鎮,S03-10003030
二林鎮,彰化縣,10007200,10007,92196020.2533,彰化縣二林鎮,S07-10007200
溪州鄉,彰化縣,10007260,10007,69256693.1757,彰化縣溪州鄉,S07-10007260
線西鄉,彰化縣,10007040,10007,20167847.3529,彰化縣線西鄉,S07-10007040
泰山鄉,臺北縣,10001160,10001,18088822.471,臺北縣泰山鄉,S01-10001160
北區,新竹市,10018020,10018,25695076.8303,新竹市北區,S18-10018020
大樹鄉,高雄縣,10012040,10012,67341377.6289,高雄縣大樹鄉,S12-10012040
大內鄉,臺南縣,10011110,10011,71077909.5677,臺南縣大內鄉,S11-10011110
南化鄉,臺南縣,10011250,10011,171379645.7486,臺南縣南化鄉,S11-10011250
秀水鄉,彰化縣,10007070,10007,29082645.6663,彰化縣秀水鄉,S07-10007070
五股鄉,臺北縣,10001150,10001,34348813.6927,臺北縣五股鄉,S01-10001150
石門鄉,臺北縣,10001220,10001,51911601.7757,臺北縣石門鄉,S01-10001220
關西鎮,新竹縣,10004040,10004,125189805.0961,新竹縣關西鎮,S04-10004040
壯圍鄉,宜蘭縣,10002060,10002,39900689.8188,宜蘭縣壯圍鄉,S02-10002060
獅子鄉,屏東縣,10013320,10013,313345732.5611,屏東縣獅子鄉,S13-10013320
林內鄉,雲林縣,10009100,10009,52127273.9553,雲林縣林內鄉,S09-10009100
東河鄉,臺東縣,10014070,10014,215119249.3849,臺東縣東河鄉,S14-10014070
佳里鎮,臺南縣,10011120,10011,39113454.9536,臺南縣佳里鎮,S11-10011120
安南區,臺南市,10021060,10021,116964376.078,臺南市安南區,S21-10021060
七股鄉,臺南縣,10011150,10011,141821803.462,臺南縣七股鄉,S11-10011150
山上鄉,臺南縣,10011220,10011,27646738.7856,臺南縣山上鄉,S11-10011220
