編號,地點位置,管轄警察局,分局
40,臺北市中正區和平西路、南昌路(南昌公園),臺北市政府警察局,中正二分局
41,臺北市中正區南海路105號國盛國宅一帶,臺北市政府警察局,中正二分局
42,臺北市中正區寧波西街181巷內永寬公園,臺北市政府警察局,中正二分局
43,臺北市中正區廈門街至和平西路一帶,臺北市政府警察局,中正二分局
44,臺北市中正區延平南路一帶商家(和平西路愛國西路),臺北市政府警察局,中正二分局
45,臺北市中正區寧波西街(泉州街至重慶南路),臺北市政府警察局,中正二分局
46,臺北市松山區八德路4段106巷附近,臺北市政府警察局,松山分局
47,臺北市松山區健康路325巷25弄附近,臺北市政府警察局,松山分局
48,臺北市松山區松河街4號水門內,臺北市政府警察局,松山分局
49,臺北市松山區松河街80幾號附近,臺北市政府警察局,松山分局
50,臺北市松山區復興北路10幾號附近,臺北市政府警察局,松山分局
51,臺北市松山區八德路2段346巷5弄附近,臺北市政府警察局,松山分局
52,臺北市松山區敦化北路與八德路口地下道,臺北市政府警察局,松山分局
53,臺北市松山區民生東路5段、撫遠街口,臺北市政府警察局,松山分局
54,臺北市松山區南京東路5段147巷內(西松國小後門),臺北市政府警察局,松山分局
55,臺北市松山區復興北路231巷,臺北市政府警察局,松山分局
56,臺北市信義區松隆路、永吉路30巷口,臺北市政府警察局,信義分局
57,臺北市信義區永吉公園,臺北市政府警察局,信義分局
58,臺北市信義區中強公園,臺北市政府警察局,信義分局
59,臺北市信義區福德街251巷7弄周邊,臺北市政府警察局,信義分局
60,臺北市信義區崇德街38巷內,臺北市政府警察局,信義分局
61,臺北市士林區美崙街190號旁  (基河路底),臺北市政府警察局,士林分局
62,臺北市士林區延平北路6段308號,臺北市政府警察局,士林分局
63,臺北市士林區三腳渡堤外 百齡右岸河濱公園,臺北市政府警察局,士林分局
64,臺北市士林區忠誠路2段207巷內(運動公園周邊),臺北市政府警察局,士林分局
65,臺北市士林區忠誠公園,臺北市政府警察局,士林分局
66,臺北市士林區永公路245巷34弄底6之6重劃區周邊,臺北市政府警察局,士林分局
67,臺北市士林區至善路3段71巷,臺北市政府警察局,士林分局
68,臺北市北投區中央北路4段583巷內,臺北市政府警察局,北投分局
69,臺北市文山區指南路1段道南橋下(含指南路1段道南橋頭),臺北市政府警察局,文山一分局
70,臺北市文山區木新路3段至寶橋下沿線河堤一帶,臺北市政府警察局,文山一分局
71,臺北市文山區木柵路1段1號至木柵路1段57號,臺北市政府警察局,文山一分局
72,臺北市文山區新光路1段118巷到道南橋下涵洞,臺北市政府警察局,文山一分局
73,臺北市文山區木柵路4段159巷14號至170弄口,臺北市政府警察局,文山一分局
74,臺北市文山區興德路66巷往萬美國宅階梯處,臺北市政府警察局,文山二分局
75,臺北市文山區萬芳醫院捷運站(興隆路3段111號),臺北市政府警察局,文山二分局
76,臺北市文山區辛亥捷運站(辛亥路4段128號),臺北市政府警察局,文山二分局
77,臺北市文山區基隆路四段與汀州路四段路口,臺北市政府警察局,文山二分局
78,臺北市文山區汀洲路四段88號（師大分部）後面,臺北市政府警察局,文山二分局
79,臺北市文山區羅斯福路6段401巷景美捷運站1號出口,臺北市政府警察局,文山二分局
80,臺北市文山區景行公園,臺北市政府警察局,文山二分局
81,臺北市內湖區內湖路三段60巷50弄,臺北市政府警察局,內湖分局
82,臺北市內湖區民權東路6段180巷,臺北市政府警察局,內湖分局
83,臺北市南港區忠孝東路6段2號(後山埤捷運站),臺北市政府警察局,南港分局
84,臺北市南港區南港路1段、興中路口(南興公園),臺北市政府警察局,南港分局
85,新北市三重區中正北路,新北市政府警察局,三重分局
86,新北市鶯歌區鶯桃路,新北市政府警察局,三峽分局
87,新北市三峽區復興路,新北市政府警察局,三峽分局
88,新北市土城區學府路一段,新北市政府警察局,土城分局
89,新北市中和區新生街,新北市政府警察局,中和二分局
90,新北市中和區連城路,新北市政府警察局,中和二分局
91,新北市中和區圓通路,新北市政府警察局,中和二分局
92,新北市中和區錦和路,新北市政府警察局,中和二分局
93,新北市永和區竹林路,新北市政府警察局,永和分局
94,新北市汐止區中興路,新北市政府警察局,汐止分局
95,新北市淡水區水源路一段,新北市政府警察局,淡水分局
96,新北市三芝區三民路,新北市政府警察局,淡水分局
97,新北市淡水區中山北路二段,新北市政府警察局,淡水分局
98,新北市新店區安業街,新北市政府警察局,新店分局
99,新北市新莊區新莊路,新北市政府警察局,新莊分局
100,新北市新莊區福壽街,新北市政府警察局,新莊分局
101,新北市樹林區保安街二段,新北市政府警察局,樹林分局
102,新北市樹林區啟智街,新北市政府警察局,樹林分局
103,新北市樹林區復興路,新北市政府警察局,樹林分局
104,新北市樹林區保安街一段,新北市政府警察局,樹林分局
105,新北市蘆洲區民族路,新北市政府警察局,蘆洲分局
106,新北市五股區五福路,新北市政府警察局,蘆洲分局
107,臺中市西區忠孝國小周遭,臺中市政府警察局,第一分局
108,臺中市中區光復國小周遭,臺中市政府警察局,第一分局
109,臺中市北區立人國小周邊,臺中市政府警察局,第二分局
110,臺中市北區自強街與自強一街周邊,臺中市政府警察局,第二分局
111,臺中市北區國強街周邊,臺中市政府警察局,第二分局
112,臺中市北區英才公園周邊,臺中市政府警察局,第二分局
113,臺中市北區梅亭街周邊,臺中市政府警察局,第二分局
114,臺中市東區復興路四段,臺中市政府警察局,第三分局
115,臺中市東區旱溪東路段,臺中市政府警察局,第三分局
116,臺中市南區興大路段與國光路段週邊,臺中市政府警察局,第三分局
117,臺中市南區大慶街路段與建國南路段週邊,臺中市政府警察局,第三分局
118,臺中市南屯區忠勇路,臺中市政府警察局,第四分局
119,臺中市南屯區三厝街與三和街口,臺中市政府警察局,第四分局
120,臺中市南屯區嶺東科技大學周邊,臺中市政府警察局,第四分局
121,臺中市南屯區大墩11街,臺中市政府警察局,第四分局
122,臺中市南屯區田心北三巷,臺中市政府警察局,第四分局
123,臺中市北屯區農村公園周邊,臺中市政府警察局,第五分局
124,臺中市北屯區雷虎公園周邊,臺中市政府警察局,第五分局
125,臺中市北屯區清平公園周邊,臺中市政府警察局,第五分局
126,臺中市北屯區823公園周邊,臺中市政府警察局,第五分局
127,臺中市北屯區?子公園周邊,臺中市政府警察局,第五分局
128,臺中市西屯區逢甲大學周邊,臺中市政府警察局,第六分局
129,臺中市西屯區青海路路段,臺中市政府警察局,第六分局
130,臺中市豐原區豐原國小週遭,臺中市政府警察局,豐原分局
131,臺中市豐原區福陽國小週遭,臺中市政府警察局,豐原分局
132,臺中市豐原區合作國小周邊,臺中市政府警察局,豐原分局
133,臺中市豐原區豐村國小周邊,臺中市政府警察局,豐原分局
134,臺中市豐原區翁子國小周邊,臺中市政府警察局,豐原分局
135,臺中市神岡區大漢街一帶,臺中市政府警察局,豐原分局
136,臺中市神岡區豐洲公園週遭,臺中市政府警察局,豐原分局
137,臺中市神岡區神岡國小週遭,臺中市政府警察局,豐原分局
138,臺中市神岡區圳堵國小週遭,臺中市政府警察局,豐原分局
139,臺中市潭子區勝利運動公園週遭,臺中市政府警察局,豐原分局
140,臺中市潭子區雅潭路一段與南門街口,臺中市政府警察局,豐原分局
141,臺中市潭子區僑忠國小周邊,臺中市政府警察局,豐原分局
142,臺中市大雅區大林路66巷口,臺中市政府警察局,豐原分局
143,臺中市大雅區三和公園周邊,臺中市政府警察局,豐原分局
144,臺中市大里區中興路2段,臺中市政府警察局,霧峰分局
145,臺中市大里區大明路段與永隆路段週邊,臺中市政府警察局,霧峰分局
146,臺中市大里區國光路2段,臺中市政府警察局,霧峰分局
147,臺中市烏日區高鐵周邊,臺中市政府警察局,烏日分局
148,臺中市烏日區太明路成豐巷往霧峰路段,臺中市政府警察局,烏日分局
149,臺中市大肚區沙田路1段（王田毛紡前機車道）,臺中市政府警察局,烏日分局
150,臺中市龍井區南崗產業道路,臺中市政府警察局,烏日分局
151,臺中市龍井區龍港路901號污水處理廠周邊,臺中市政府警察局,烏日分局
152,臺中市龍井區水裡港巷41號附近麗水大斑池後方,臺中市政府警察局,烏日分局
153,臺中市后里區三豐路、文明路路口,臺中市政府警察局,大甲分局
154,臺中市大甲區中山路一段、水源路路口,臺中市政府警察局,大甲分局
155,臺中市沙鹿區中山路與成功東街口,臺中市政府警察局,清水分局
156,臺中市沙鹿區臺灣大道七段與英才路口,臺中市政府警察局,清水分局
157,臺中市太平區振德街47巷,臺中市政府警察局,太平分局
158,臺中市太平區太堤東路與光興路口,臺中市政府警察局,太平分局
159,臺中市太平區中興東路99號(太平運動場),臺中市政府警察局,太平分局
160,臺中市東勢區東勢國小周邊,臺中市政府警察局,東勢分局
161,臺中市東勢區豐原客運站周邊,臺中市政府警察局,東勢分局
162,臺中市東勢區土牛國小周邊,臺中市政府警察局,東勢分局
163,臺中市東勢區大南國小周邊,臺中市政府警察局,東勢分局
164,臺南市新營區中正路與建國路口(往北至南85縣道路口),臺南市政府警察局,新營分局
165,臺南市後壁區竹新里竹圍後14號~50號,臺南市政府警察局,新營分局
166,臺南市麻豆區中華街34巷之間,臺南市政府警察局,麻豆分局
167,臺南市七股區西寮里活動中心附近,臺南市政府警察局,佳里分局
168,臺南市七股區永吉里60-100號,臺南市政府警察局,佳里分局
169,臺南市佳里區三協里後庄10-40號,臺南市政府警察局,佳里分局
170,臺南市將軍區長榮里長榮2至108號,臺南市政府警察局,學甲分局
171,臺南市新市區永就里永就26之11至39之1號,臺南市政府警察局,善化分局
172,臺南市善化區南122線（田寮里段及六德里段）沿線,臺南市政府警察局,善化分局
173,臺南市新化區護國里中山路85-95號,臺南市政府警察局,新化分局
174,臺南市新化區東榮里中興路710-730號,臺南市政府警察局,新化分局
175,臺南市新化區武安里中正路與和平街口附近,臺南市政府警察局,新化分局
176,臺南市新化區護國里中山路111巷30-50號,臺南市政府警察局,新化分局
177,臺南市歸仁區台39線與中正南路一段路口至台39線與中山路路口沿線,臺南市政府警察局,歸仁分局
178,臺南市楠西區東勢路100號至120號,臺南市政府警察局,玉井分局
179,臺南市永康區鹽新行街050-200號含巷弄,臺南市政府警察局,永康分局
180,臺南市永康區中華一路10-150號含巷弄,臺南市政府警察局,永康分局
181,臺南市永康區中山路11-151號含巷弄,臺南市政府警察局,永康分局
182,臺南市東區中華東路三段100至300號,臺南市政府警察局,第一分局
183,臺南市東區裕文路80-110號,臺南市政府警察局,第一分局
184,臺南市中西區西門路與和意路口,臺南市政府警察局,第二分局
185,臺南市中西區中山路1-9號,臺南市政府警察局,第二分局
186,臺南市中西區海安路二段9-31號,臺南市政府警察局,第二分局
187,臺南市安南區北安路三段302-312號,臺南市政府警察局,第三分局
188,臺南市安平區林默娘公園公有停車場,臺南市政府警察局,第四分局
189,臺南市安平區漁濱路（觀夕平台）,臺南市政府警察局,第四分局
190,臺南市北區開元路50-200號,臺南市政府警察局,第五分局
191,臺南市北區成功路2-50號,臺南市政府警察局,第五分局
192,臺南市北區西門路三段200-300號,臺南市政府警察局,第五分局
193,臺南市南區新興路250-500號,臺南市政府警察局,第六分局
194,臺南市南區健康路二段450號至600號,臺南市政府警察局,第六分局
195,高雄市新興區七賢一路,高雄市政府警察局,新興分局
196,高雄市新興區七賢二路,高雄市政府警察局,新興分局
197,高雄市新興區洛陽街,高雄市政府警察局,新興分局
198,高雄市新興區信守街,高雄市政府警察局,新興分局
199,高雄市新興區民生一路,高雄市政府警察局,新興分局
200,高雄市新興區復興一路,高雄市政府警察局,新興分局
201,高雄市新興區中華三路,高雄市政府警察局,新興分局
202,高雄市新興區六合一路,高雄市政府警察局,新興分局
203,高雄市新興區六合二路,高雄市政府警察局,新興分局
204,高雄市新興區復興二路(雄商圍牆外人行道上),高雄市政府警察局,新興分局
205,高雄市新興區仁愛街、德智街口(公園旁),高雄市政府警察局,新興分局
206,高雄市新興區五福二路、仁愛街口,高雄市政府警察局,新興分局
207,高雄市新興區中央公園內,高雄市政府警察局,新興分局
208,高雄市新興區五福二路(高雄女中周邊),高雄市政府警察局,新興分局
209,高雄市苓雅區中正公園公廁,高雄市政府警察局,苓雅分局
210,高雄市苓雅區大順、武廟路口,高雄市政府警察局,苓雅分局
211,高雄市苓雅區武慶三路、武信街口,高雄市政府警察局,苓雅分局
212,高雄市苓雅區和平一路144巷,高雄市政府警察局,苓雅分局
213,高雄市苓雅區大順三路,高雄市政府警察局,苓雅分局
214,高雄市苓雅區英明路147號,高雄市政府警察局,苓雅分局
215,高雄市苓雅區自強三路,高雄市政府警察局,苓雅分局
216,高雄市苓雅區五塊厝捷運站出口,高雄市政府警察局,苓雅分局
217,高雄市苓雅區凱旋、福成街口,高雄市政府警察局,苓雅分局
218,高雄市苓雅區建軍、行仁路口,高雄市政府警察局,苓雅分局
219,高雄市三民區察哈爾二街沿線,高雄市政府警察局,三民一分局
220,高雄市三民區三民街三民市場段,高雄市政府警察局,三民一分局
221,高雄市三民區力行、中都路口,高雄市政府警察局,三民一分局
222,高雄市三民區中山、建國,高雄市政府警察局,三民一分局
223,高雄市三民區凱旋一路69巷,高雄市政府警察局,三民一分局
224,高雄市三民區九如、松江街口 ,高雄市政府警察局,三民一分局
225,高雄市三民區建國三路、河北二路沿線,高雄市政府警察局,三民一分局
226,高雄市三民區自由、察哈爾街口,高雄市政府警察局,三民一分局
227,高雄市三民區松江、察哈爾街口（公園）,高雄市政府警察局,三民一分局
228,高雄市三民區淵源街,高雄市政府警察局,三民二分局
229,高雄市三民區大利街,高雄市政府警察局,三民二分局
230,高雄市三民區大昌二路,高雄市政府警察局,三民二分局
231,高雄市三民區九如一路,高雄市政府警察局,三民二分局
232,高雄市三民區民族一巷,高雄市政府警察局,三民二分局
233,高雄市三民區愛國路,高雄市政府警察局,三民二分局
234,高雄市三民區光富路,高雄市政府警察局,三民二分局
235,高雄市三民區永年街1巷,高雄市政府警察局,三民二分局
236,高雄市三民區昌平街,高雄市政府警察局,三民二分局
237,高雄市三民區陽明路,高雄市政府警察局,三民二分局
238,高雄市三民區義永路,高雄市政府警察局,三民二分局
239,高雄市三民區立志街,高雄市政府警察局,三民二分局
240,高雄市三民區鼎金1巷,高雄市政府警察局,三民二分局
241,高雄市三民區鼎金六巷,高雄市政府警察局,三民二分局
242,高雄市三民區日全街,高雄市政府警察局,三民二分局
243,高雄市三民區大和街,高雄市政府警察局,三民二分局
244,高雄市三民區昌富路,高雄市政府警察局,三民二分局
245,高雄市三民區水源路,高雄市政府警察局,三民二分局
246,高雄市三民區義安街,高雄市政府警察局,三民二分局
247,高雄市三民區天民路,高雄市政府警察局,三民二分局
248,高雄市三民區寶鼎街,高雄市政府警察局,三民二分局
249,高雄市三民區明哲路,高雄市政府警察局,三民二分局
250,高雄市三民區武功巷,高雄市政府警察局,三民二分局
251,高雄市三民區鼎正街,高雄市政府警察局,三民二分局
252,高雄市前鎮區光華二路,高雄市政府警察局,前鎮分局
253,高雄市前鎮區一心一路,高雄市政府警察局,前鎮分局
254,高雄市前鎮區中山路、鎮中路,高雄市政府警察局,前鎮分局
255,高雄市前鎮區佛公路、佛道路,高雄市政府警察局,前鎮分局
256,高雄市前鎮區明道二街,高雄市政府警察局,前鎮分局
257,高雄市前鎮區中山路、復興路,高雄市政府警察局,前鎮分局
258,高雄市前鎮區時代大道,高雄市政府警察局,前鎮分局
259,高雄市前鎮區一心路、文衡路,高雄市政府警察局,前鎮分局
260,高雄市前鎮區二聖路、修文路,高雄市政府警察局,前鎮分局
261,高雄市前鎮區瑞隆、保泰路口(崗山仔公園),高雄市政府警察局,前鎮分局
262,高雄市前鎮區瑞福、瑞安(瑞福公園),高雄市政府警察局,前鎮分局
263,高雄市前鎮區永豐、保泰路口,高雄市政府警察局,前鎮分局
264,高雄市鹽埕區河西路(鹽埕國中後門),高雄市政府警察局,鹽埕分局
265,高雄市鹽埕區府北路21巷6號旁,高雄市政府警察局,鹽埕分局
266,高雄市鹽埕區必忠街171號前,高雄市政府警察局,鹽埕分局
267,高雄市鹽埕區五福四路72號(全家超商),高雄市政府警察局,鹽埕分局
268,高雄市鼓山區美術東四路沿線,高雄市政府警察局,鼓山分局
269,高雄市鼓山區凹仔底公園,高雄市政府警察局,鼓山分局
270,高雄市鼓山區龍勝路,高雄市政府警察局,鼓山分局
271,高雄市鼓山區龍德路,高雄市政府警察局,鼓山分局
272,高雄市鼓山區美術東二路,高雄市政府警察局,鼓山分局
273,高雄市鼓山區裕民街,高雄市政府警察局,鼓山分局
274,高雄市鼓山區九如、吳鳳路口,高雄市政府警察局,鼓山分局
275,高雄市鼓山區鼓山三路,高雄市政府警察局,鼓山分局
276,高雄市鼓山區鼓山二路,高雄市政府警察局,鼓山分局
277,高雄市鼓山區逢甲、銘傳路85巷口,高雄市政府警察局,鼓山分局
278,高雄市鼓山區臨海二路30巷,高雄市政府警察局,鼓山分局
279,高雄市鼓山區旗津區廟前路(旗津天后宮),高雄市政府警察局,鼓山分局
280,高雄市左營區蓮潭路→明潭路→翠華路,高雄市政府警察局,左營分局
281,高雄市左營區崇實新村,高雄市政府警察局,左營分局
282,高雄市左營區果貿社區,高雄市政府警察局,左營分局
283,高雄市左營區新莊仔路(翠華至勝利路口),高雄市政府警察局,左營分局
284,高雄市左營區舊城巷,高雄市政府警察局,左營分局
285,高雄市左營區軍校路國軍左營醫院附近,高雄市政府警察局,左營分局
286,高雄市左營區民族路文藻學校附近,高雄市政府警察局,左營分局
287,高雄市左營區高鐵旁原生植物園附近,高雄市政府警察局,左營分局
288,高雄市楠梓區土庫七街與土庫八街口,高雄市政府警察局,楠梓分局
289,高雄市楠梓區旗楠路837巷生態公園,高雄市政府警察局,楠梓分局
290,高雄市楠梓區廣昌街141巷底(海軍圍牆便道),高雄市政府警察局,楠梓分局
291,高雄市楠梓區德民路、三山街口(德民公園),高雄市政府警察局,楠梓分局
292,高雄市楠梓區加昌路與加昌路700巷(雕堡公園),高雄市政府警察局,楠梓分局
293,高雄市楠梓區德民路與後昌新路巷內(右昌森林公園),高雄市政府警察局,楠梓分局
294,高雄市楠梓區高楠公路1003巷,高雄市政府警察局,楠梓分局
295,高雄市楠梓區左楠路世運捷運站,高雄市政府警察局,楠梓分局
296,高雄市楠梓區都會公園捷運站,高雄市政府警察局,楠梓分局
297,高雄市小港區港平路,高雄市政府警察局,小港分局
298,高雄市小港區平和西路,高雄市政府警察局,小港分局
299,高雄市小港區平和東路與平和南路口,高雄市政府警察局,小港分局
300,高雄市小港區東亞路,高雄市政府警察局,小港分局
301,高雄市小港區翠亨南與平和東路口,高雄市政府警察局,小港分局
302,高雄市小港區港美街,高雄市政府警察局,小港分局
303,高雄市小港區平和十路與鋼平街口,高雄市政府警察局,小港分局
304,高雄市小港區桂義街與桂德街口,高雄市政府警察局,小港分局
305,高雄市小港區華昌街93巷口,高雄市政府警察局,小港分局
306,高雄市小港區桂陽路與桂明街口,高雄市政府警察局,小港分局
307,高雄市小港區高松路與山田路口,高雄市政府警察局,小港分局
308,高雄市小港區高松路高架橋下,高雄市政府警察局,小港分局
309,高雄市小港區高松路松金街口,高雄市政府警察局,小港分局
310,高雄市小港區松和路,高雄市政府警察局,小港分局
311,高雄市小港區華山路段,高雄市政府警察局,小港分局
312,高雄市小港區漢民與金府路口,高雄市政府警察局,小港分局
313,高雄市小港區R3捷運站出口,高雄市政府警察局,小港分局
314,高雄市小港區學府路(小港高中),高雄市政府警察局,小港分局
315,高雄市鳳山區經武路28巷26號前,高雄市政府警察局,鳳山分局
316,高雄市鳳山區鳳東路500號1樓7號,高雄市政府警察局,鳳山分局
317,高雄市鳳山區中崙二路575巷15號5樓,高雄市政府警察局,鳳山分局
318,高雄市鳳山區林森路76巷57號,高雄市政府警察局,鳳山分局
319,高雄市鳳山區王生明路,高雄市政府警察局,鳳山分局
320,高雄市鳳山區五權南路與國泰路二段路口,高雄市政府警察局,鳳山分局
321,高雄市鳳山區華興街2號,高雄市政府警察局,鳳山分局
322,高雄市鳳山區立德街116號1樓,高雄市政府警察局,鳳山分局
323,高雄市仁武區八德一路,高雄市政府警察局,仁武分局
324,高雄市仁武區仁雄路,高雄市政府警察局,仁武分局
325,高雄市鳥松區大埤路,高雄市政府警察局,仁武分局
326,高雄市仁武區水管路,高雄市政府警察局,仁武分局
327,高雄市大社區三民路,高雄市政府警察局,仁武分局
328,高雄市仁武區鳳仁路,高雄市政府警察局,仁武分局
329,高雄市鳥松區神農路,高雄市政府警察局,仁武分局
330,高雄市仁武區澄觀路,高雄市政府警察局,仁武分局
331,高雄市大樹區久堂路,高雄市政府警察局,仁武分局
332,高雄市橋頭區成功路,高雄市政府警察局,岡山分局
333,高雄市梓官區通安路,高雄市政府警察局,岡山分局
334,高雄市燕巢區滾水路,高雄市政府警察局,岡山分局
335,高雄市梓官區漁港二路,高雄市政府警察局,岡山分局
336,高雄市彌陀區中正南路,高雄市政府警察局,岡山分局
337,高雄市燕巢區東燕里巷,高雄市政府警察局,岡山分局
338,高雄市大寮區力行路88夜市前,高雄市政府警察局,林園分局
339,高雄市大寮區永芳路,高雄市政府警察局,林園分局
340,高雄市大寮區翁園路,高雄市政府警察局,林園分局
341,高雄市大寮區仁愛路,高雄市政府警察局,林園分局
342,高雄市林園區沿海路二段,高雄市政府警察局,林園分局
343,高雄市大寮區捷西路,高雄市政府警察局,林園分局
344,高雄市大寮區鳳林三路382巷內,高雄市政府警察局,林園分局
345,高雄市旗山區延平一路,高雄市政府警察局,旗山分局
346,高雄市旗山區旗甲路4段,高雄市政府警察局,旗山分局
347,高雄市杉林區司馬路,高雄市政府警察局,旗山分局
348,高雄市美濃區東門街,高雄市政府警察局,旗山分局
349,高雄市旗山區旗甲路1段,高雄市政府警察局,旗山分局
350,高雄市內門區三平里烏西崙,高雄市政府警察局,旗山分局
351,高雄市內門區內興里復興,高雄市政府警察局,旗山分局
352,高雄市路竹區華光路,高雄市政府警察局,湖內分局
353,高雄市路竹區文化路,高雄市政府警察局,湖內分局
354,高雄市路竹區中山路,高雄市政府警察局,湖內分局
355,高雄市路竹區復興路,高雄市政府警察局,湖內分局
356,高雄市路竹區新生路,高雄市政府警察局,湖內分局
357,高雄市湖內區中山路一段,高雄市政府警察局,湖內分局
358,高雄市湖內區中正路二段,高雄市政府警察局,湖內分局
359,高雄市湖內區民生街,高雄市政府警察局,湖內分局
360,高雄市湖內區東方路,高雄市政府警察局,湖內分局
361,高雄市茄萣區濱海路三段,高雄市政府警察局,湖內分局
362,高雄市茄萣區情人碼頭周邊,高雄市政府警察局,湖內分局
363,高雄市阿蓮區崗山里,高雄市政府警察局,湖內分局
364,高雄市田寮區公館路,高雄市政府警察局,湖內分局
365,高雄市六龜區中興里(龍興國小籃球場),高雄市政府警察局,六龜分局
366,高雄市茂林區茂林里(茂林國小周遭),高雄市政府警察局,六龜分局
367,高雄市桃源區樟山國小周遭,高雄市政府警察局,六龜分局
368,桃園市桃園區三民路與中福街周邊,桃園市政府警察局,桃園分局
369,桃園市桃園市立圖書館周邊,桃園市政府警察局,桃園分局
370,桃園市桃園區文昌公園周邊,桃園市政府警察局,桃園分局
371,桃園市桃園區桃園火車站周邊,桃園市政府警察局,桃園分局
372,桃園市桃園區中正路與復興路周邊,桃園市政府警察局,桃園分局
373,桃園市桃園區中正路48巷周邊,桃園市政府警察局,桃園分局
374,桃園市桃園區會稽公園周邊,桃園市政府警察局,桃園分局
375,桃園市桃園區快樂國小及公園周邊,桃園市政府警察局,桃園分局
376,桃園市桃園區大有路殯儀館周邊,桃園市政府警察局,桃園分局
377,桃園市桃園區成功路三段榮民醫院周邊,桃園市政府警察局,桃園分局
378,桃園市桃園區民光東路與福元街周邊,桃園市政府警察局,桃園分局
379,桃園市桃園區桃園高中周邊,桃園市政府警察局,桃園分局
380,桃園市桃園區富國路陸橋周邊,桃園市政府警察局,桃園分局
381,桃園市桃園區永安北路瑞慶公園周邊,桃園市政府警察局,桃園分局
382,桃園市桃園區慈愛七街中路重劃區周邊,桃園市政府警察局,桃園分局
383,桃園市桃園區振聲中學周邊,桃園市政府警察局,桃園分局
384,桃園市桃園區中興國中周邊,桃園市政府警察局,桃園分局
385,桃園市桃園區國強公園周邊,桃園市政府警察局,桃園分局
386,桃園市桃園區中山國小周邊,桃園市政府警察局,桃園分局
387,桃園市桃園區延平地下道及火車站周邊,桃園市政府警察局,桃園分局
388,桃園市桃園區陽明公園（保羅街）周邊,桃園市政府警察局,桃園分局
389,桃園市桃園區工業區周邊（興華、興邦路）,桃園市政府警察局,桃園分局
390,桃園市桃園區桃園療養院周邊,桃園市政府警察局,桃園分局
391,桃園市桃園區龍山街周邊,桃園市政府警察局,桃園分局
392,桃園市桃園區愛買量販店店周邊,桃園市政府警察局,桃園分局
393,桃園市觀音區坑尾一帶,桃園市政府警察局,大園分局
394,桃園市觀音區觀音海邊,桃園市政府警察局,大園分局
395,桃園市中壢區中平路、中正路一帶,桃園市政府警察局,中壢分局
